"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1515,"RNGR","Ranger Energy Services Inc","Energy","Oil & Gas Equipment & Services","USA",261.31,18.42,11.76,1.20%,56747
1516,"RNST","Renasant Corp.","Financial","Banks - Regional","USA",1830.57,12.40,32.48,-1.13%,907180
1517,"ROAD","Construction Partners Inc","Industrials","Engineering & Construction","USA",3079.99,49.81,58.30,4.03%,451050
1518,"ROCK","Gibraltar Industries Inc.","Industrials","Building Products & Equipment","USA",1986.99,17.31,65.19,1.23%,144439
1519,"ROG","Rogers Corp.","Technology","Electronic Components","USA",1964.53,33.94,105.62,0.91%,79010
1520,"ROIC","Retail Opportunity Investments Corp","Real Estate","REIT - Retail","USA",1928.32,55.54,15.13,0.20%,774102
1521,"ROOT","Root Inc","Financial","Insurance - Property & Casualty","USA",640.55,,42.99,-19.64%,934538
1522,"RPAY","Repay Holdings Corporation","Technology","Software - Infrastructure","USA",868.82,,9.07,4.73%,1494311
1523,"RPD","Rapid7 Inc","Technology","Software - Infrastructure","USA",2291.51,,36.77,1.29%,681442
1524,"RRBI","Red River Bancshares Inc","Financial","Banks - Regional","USA",347.21,10.96,50.32,3.01%,4541
1525,"RRR","Red Rock Resorts Inc","Consumer Cyclical","Resorts & Casinos","USA",3260.67,22.60,54.70,1.81%,586513
1526,"RSI","Rush Street Interactive Inc","Consumer Cyclical","Gambling","USA",752.18,,9.44,-1.46%,2817548
1527,"RSVR","Reservoir Media Inc","Communication Services","Entertainment","USA",464.67,,7.14,-0.70%,25466
1528,"RUN","Sunrun Inc","Technology","Solar","USA",4209.26,,18.83,2.84%,13607160
1529,"RUSHA","Rush Enterprises Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",4033.48,13.66,51.31,2.62%,209468
1530,"RVLV","Revolve Group Inc","Consumer Cyclical","Internet Retail","USA",1636.65,50.40,23.11,-0.86%,1513058
